,City,Languages,# of Speakers
256,"Salt Lake City, UT",Nepali,1815.0
257,"Salt Lake City, UT",Persian,1050.0
258,"Salt Lake City, UT",Spanish,126010.0
259,"Salt Lake City, UT",Urdu,473.0
260,"San Diego-Carlsbad, CA",Arabic,19624.0
261,"San Diego-Carlsbad, CA",Armenian,2563.0
262,"San Diego-Carlsbad, CA",Burmese,470.0
263,"San Diego-Carlsbad, CA",French,9135.0
264,"San Diego-Carlsbad, CA",Karen,455.0
265,"San Diego-Carlsbad, CA",Nepali,65.0
266,"San Diego-Carlsbad, CA",Persian,14034.0
267,"San Diego-Carlsbad, CA",Spanish,725295.0
268,"San Diego-Carlsbad, CA",Urdu,2196.0
269,"San Francisco-Oakland-Hayward, ",Arabic,21983.0
270,"San Francisco-Oakland-Hayward, ",Armenian,3709.0
271,"San Francisco-Oakland-Hayward, ",Burmese,7175.0
272,"San Francisco-Oakland-Hayward, ",French,26835.0
273,"San Francisco-Oakland-Hayward, ",Karen,110.0
274,"San Francisco-Oakland-Hayward, ",Nepali,2590.0
275,"San Francisco-Oakland-Hayward, ",Persian,28645.0
276,"San Francisco-Oakland-Hayward, ",Spanish,677465.0
277,"San Francisco-Oakland-Hayward, ",Urdu,7941.0
278,"San Jose-Sunnyvale-Santa Clara,",Arabic,5336.0
279,"San Jose-Sunnyvale-Santa Clara,",Armenian,1307.0
280,"San Jose-Sunnyvale-Santa Clara,",Burmese,600.0
281,"San Jose-Sunnyvale-Santa Clara,",French,9105.0
282,"San Jose-Sunnyvale-Santa Clara,",Karen,210.0
283,"San Jose-Sunnyvale-Santa Clara,",Nepali,640.0
284,"San Jose-Sunnyvale-Santa Clara,",Persian,14462.0
285,"San Jose-Sunnyvale-Santa Clara,",Spanish,339165.0
286,"San Jose-Sunnyvale-Santa Clara,",Urdu,5687.0
287,"Seattle-Tacoma-Bellevue, WA",Arabic,9263.0
288,"Seattle-Tacoma-Bellevue, WA",Armenian,1040.0
289,"Seattle-Tacoma-Bellevue, WA",Burmese,820.0
290,"Seattle-Tacoma-Bellevue, WA",French,15990.0
291,"Seattle-Tacoma-Bellevue, WA",Karen,35.0
292,"Seattle-Tacoma-Bellevue, WA",Nepali,1995.0
293,"Seattle-Tacoma-Bellevue, WA",Persian,7155.0
294,"Seattle-Tacoma-Bellevue, WA",Spanish,207590.0
295,"Seattle-Tacoma-Bellevue, WA",Urdu,3055.0
296,"Tulsa, OK",Arabic,1402.0
297,"Tulsa, OK",Burmese,875.0
298,"Tulsa, OK",French,1425.0
299,"Tulsa, OK",Karen,90.0
300,"Tulsa, OK",Persian,500.0
301,"Tulsa, OK",Spanish,55620.0
302,"Tulsa, OK",Urdu,610.0
303,Washington-Arlington-Alexandria,Arabic,38910.0
304,Washington-Arlington-Alexandria,Armenian,2614.0
305,Washington-Arlington-Alexandria,Burmese,2090.0
306,Washington-Arlington-Alexandria,French,58045.0
307,Washington-Arlington-Alexandria,Karen,
308,Washington-Arlington-Alexandria,Nepali,7155.0
309,Washington-Arlington-Alexandria,Persian,32302.0
310,Washington-Arlington-Alexandria,Spanish,633140.0
311,Washington-Arlington-Alexandria,Urdu,28511.0
